,equity
2026-07-29 12:00:00+00:00,9684.063177681064
2026-07-29 16:00:00+00:00,9684.063177681064
2026-07-29 20:00:00+00:00,9684.063177681064
2026-07-30 00:00:00+00:00,9684.063177681064
2026-07-30 04:00:00+00:00,9684.063177681064
2026-07-30 08:00:00+00:00,9684.063177681064
2026-07-30 12:00:00+00:00,9684.063177681064
2026-07-30 16:00:00+00:00,9684.063177681064
2026-07-30 20:00:00+00:00,9684.063177681064
2026-07-31 00:00:00+00:00,9684.063177681064
2026-07-31 04:00:00+00:00,9684.063177681064
2026-07-31 08:00:00+00:00,9684.063177681064
2026-07-31 12:00:00+00:00,9684.063177681064
2026-07-31 16:00:00+00:00,9684.063177681064
2026-07-31 20:00:00+00:00,9684.063177681064
2026-08-01 00:00:00+00:00,9684.063177681064
2026-08-01 04:00:00+00:00,9684.063177681064
2026-08-01 08:00:00+00:00,9684.063177681064
2026-08-01 12:00:00+00:00,9684.063177681064
2026-08-01 16:00:00+00:00,9684.063177681064
2026-08-01 20:00:00+00:00,9684.063177681064
2026-08-02 00:00:00+00:00,9684.063177681064
2026-08-02 04:00:00+00:00,9684.063177681064
2026-08-02 08:00:00+00:00,9684.063177681064
2026-08-02 12:00:00+00:00,9684.063177681064
2026-08-02 16:00:00+00:00,9684.063177681064
2026-08-02 20:00:00+00:00,9684.063177681064
2026-08-03 00:00:00+00:00,9684.063177681064
2026-08-03 04:00:00+00:00,9684.063177681064
2026-08-03 08:00:00+00:00,9684.063177681064
2026-08-03 12:00:00+00:00,9684.063177681064
2026-08-03 16:00:00+00:00,9684.063177681064
2026-08-03 20:00:00+00:00,9684.063177681064
2026-08-04 00:00:00+00:00,9684.063177681064
2026-08-04 04:00:00+00:00,9684.063177681064
2026-08-04 08:00:00+00:00,9684.063177681064
2026-08-04 12:00:00+00:00,9684.063177681064
2026-08-04 16:00:00+00:00,9684.063177681064
2026-08-04 20:00:00+00:00,9684.063177681064
2026-08-05 00:00:00+00:00,9684.063177681064
2026-08-05 04:00:00+00:00,9684.063177681064
2026-08-05 08:00:00+00:00,9684.063177681064
2026-08-05 12:00:00+00:00,9684.063177681064
2026-08-05 16:00:00+00:00,9684.063177681064
2026-08-05 20:00:00+00:00,9684.063177681064
2026-08-06 00:00:00+00:00,9684.063177681064
2026-08-06 04:00:00+00:00,9684.063177681064
2026-08-06 08:00:00+00:00,9684.063177681064
2026-08-06 12:00:00+00:00,9684.063177681064
2026-08-06 16:00:00+00:00,9684.063177681064
2026-08-06 20:00:00+00:00,9684.063177681064
2026-08-07 00:00:00+00:00,9684.063177681064
2026-08-07 04:00:00+00:00,9684.063177681064
2026-08-07 08:00:00+00:00,9684.063177681064
2026-08-07 12:00:00+00:00,9684.063177681064
2026-08-07 16:00:00+00:00,9684.063177681064
2026-08-07 20:00:00+00:00,9684.063177681064
2026-08-08 00:00:00+00:00,9684.063177681064
2026-08-08 04:00:00+00:00,9684.063177681064
2026-08-08 08:00:00+00:00,9684.063177681064
2026-08-08 12:00:00+00:00,9684.063177681064
2026-08-08 16:00:00+00:00,9684.063177681064
2026-08-08 20:00:00+00:00,9684.063177681064
2026-08-09 00:00:00+00:00,9684.063177681064
2026-08-09 04:00:00+00:00,9684.063177681064
2026-08-09 08:00:00+00:00,9684.063177681064
2026-08-09 12:00:00+00:00,9684.063177681064
2026-08-09 16:00:00+00:00,9684.063177681064
2026-08-09 20:00:00+00:00,9684.063177681064
2026-08-10 00:00:00+00:00,9684.063177681064
2026-08-10 04:00:00+00:00,9684.063177681064
2026-08-10 08:00:00+00:00,9684.063177681064
2026-08-10 12:00:00+00:00,9684.063177681064
2026-08-10 16:00:00+00:00,9684.063177681064
2026-08-10 20:00:00+00:00,9684.063177681064
2026-08-11 00:00:00+00:00,9684.063177681064
2026-08-11 04:00:00+00:00,9684.063177681064
2026-08-11 08:00:00+00:00,9684.063177681064
