stop_atr,take_profit_atr,trailing_atr,downside_return_threshold,downside_vol_ratio,exit_cooldown_bars,drawdown_brake_enabled,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,train_cagr,train_sharpe,train_max_drawdown,train_total_return,validation_cagr,validation_sharpe,validation_max_drawdown,validation_total_return,robust_score,train_trade_count,validation_trade_count,downside_trigger_count,fast_downside_exit_count,drawdown_profile
2.5,12.0,2.5,-0.05,1.2,3,True,0.15,0.075,0.3,0.8093940580721817,1.9173492845789886,-0.23700011225501283,4.9245891194318885,1.3896153500344393,1.8686664045181989,-0.29146186506544614,4.714803042234225,1.912045160005129,103.0,78.0,1123,48,
3.0,12.0,2.5,-0.05,1.2,3,True,0.15,0.075,0.3,0.8093940580721817,1.9173492845789886,-0.23700011225501283,4.9245891194318885,1.3896153500344393,1.8686664045181989,-0.29146186506544614,4.714803042234225,1.912045160005129,103.0,78.0,1123,48,
3.5,12.0,2.5,-0.05,1.2,3,True,0.15,0.075,0.3,0.8093940580721817,1.9173492845789886,-0.23700011225501283,4.9245891194318885,1.3896153500344393,1.8686664045181989,-0.29146186506544614,4.714803042234225,1.912045160005129,103.0,78.0,1123,48,
3.5,12.0,2.5,-0.05,1.2,3,True,0.15,0.075,0.3,0.8093940580721817,1.9173492845789886,-0.23700011225501283,4.9245891194318885,1.3896153500344393,1.8686664045181989,-0.29146186506544614,4.714803042234225,1.912045160005129,103.0,78.0,1123,48,current
3.0,12.0,2.5,-0.05,1.1,3,True,0.15,0.075,0.3,0.7907678781037932,1.8851639535371314,-0.23700011225501216,4.743486688584386,1.3943561188440108,1.872342474675128,-0.29146186506544614,4.737511160444946,1.9119959941683808,104.0,79.0,1385,52,current
3.5,12.0,2.5,-0.05,1.1,3,True,0.15,0.075,0.3,0.7907678781037932,1.8851639535371314,-0.23700011225501216,4.743486688584386,1.3943561188440108,1.872342474675128,-0.29146186506544614,4.737511160444946,1.9119959941683808,104.0,79.0,1385,52,current
2.5,12.0,2.5,-0.05,1.1,3,True,0.15,0.075,0.3,0.7907678781037932,1.8851639535371314,-0.23700011225501216,4.743486688584386,1.3943561188440108,1.872342474675128,-0.29146186506544614,4.737511160444946,1.9119959941683808,104.0,79.0,1385,52,current
2.5,12.0,3.0,-0.06,1.3,0,False,0.15,0.075,0.3,1.059185694215115,1.9486605581488046,-0.25994748216399743,7.732892379858983,1.3801043289256212,1.8223549774946988,-0.31087458142170366,4.6693814234781055,1.904218375255723,108.0,82.0,783,31,disabled
3.0,12.0,3.0,-0.06,1.3,0,False,0.15,0.075,0.3,1.059185694215115,1.9486605581488046,-0.25994748216399743,7.732892379858983,1.3801043289256212,1.8223549774946988,-0.31087458142170366,4.6693814234781055,1.904218375255723,108.0,82.0,783,31,disabled
2.5,12.0,3.0,-0.06,1.1,3,True,0.15,0.075,0.3,0.8303747242425155,1.9449177396087995,-0.2162805025818263,5.133098355871287,1.358569293332911,1.8430945111129493,-0.309691404642897,4.567206949477567,1.9010292046705395,102.0,79.0,1275,38,current
