ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,train_cagr,train_sharpe,train_max_drawdown,train_turnover_multiple,train_max_leverage_observed,validation_cagr,validation_sharpe,validation_max_drawdown,validation_turnover_multiple,validation_max_leverage_observed,pre_cagr,pre_sharpe,pre_max_drawdown,pre_turnover_multiple,pre_max_leverage_observed,score
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.1,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.7852802762900981,1.3507690909163441,-0.32205795641400603,266.8297443537248,4.514847362363509,1.921948318012876,1.9044210964052048,-0.33857898176477785,288.48845304219674,5.494310115868895,1.1741104563925782,1.5931669751124033,-0.3385789817647773,555.3181973959215,5.494310115868895,1.3899918880601316
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.1,6.0,1.25,0.5,False,72,True,12,90,1.25,1.1,0.25,36,0.7826525949255696,1.3482796858776451,-0.32542715133890987,264.8343703600907,4.514847362363509,1.9181568218187524,1.9026682529912458,-0.3380440742954688,287.30842743575886,5.494310115868895,1.1710623269737357,1.59103772567908,-0.338044074295468,552.1427977958494,5.494310115868895,1.386726521537508
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.1,5.0,1.35,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.8458381979564025,1.3499749250696484,-0.3463026316093697,287.48439425089634,4.87603515135259,1.813137830823678,1.8352709961221318,-0.36184698261460735,309.29074389173053,5.0,1.1846321144305083,1.5588342394955472,-0.36184698261460746,596.7751381426269,5.0,1.38064398421305
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.1,5.0,1.35,0.5,False,72,True,12,90,1.25,1.1,0.25,36,0.8431213838521259,1.3476397121611765,-0.3495513368295895,285.48902025726215,4.87603515135259,1.809487516239841,1.8335305847544705,-0.3613308970930571,308.11071828529265,5.0,1.181569230416402,1.5567774690612717,-0.36133089709305566,593.5997385425547,5.0,1.377399201588764
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.0,6.0,1.35,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.7703104066114022,1.3499842870934977,-0.3178115217245723,261.3494493189966,4.432759228502354,1.8751274637339272,1.9038641684476867,-0.33300409664411723,282.87132158364307,5.394413568307643,1.149222571896554,1.5924940154676934,-0.33300409664411645,544.2207709026396,5.394413568307643,1.3692889600303846
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.0,6.0,1.35,0.5,False,72,True,12,90,1.25,1.1,0.25,36,0.7679283956035639,1.3476490698753554,-0.32090609808992776,259.5354729611474,4.432759228502354,1.8717209654687563,1.9022233888606248,-0.3325140630321046,281.7985710323359,5.394413568307643,1.1464691642260934,1.5904976249223237,-0.33251406303210385,541.3340439934832,5.394413568307643,1.3663153428825054
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.15,5.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.820382705245776,1.3507647557744278,-0.33524909667899006,278.95836909707594,4.720067697016395,1.7933590116273317,1.8500127188712385,-0.35196801993327687,300.1134615745707,5.0,1.1604029779212235,1.5663409131037793,-0.3519680199332764,579.0718306716466,5.0,1.3646471080158942
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.15,5.0,1.25,0.5,False,72,True,12,90,1.25,1.1,0.25,36,0.8175893801412426,1.3482753531619935,-0.33869592828171335,276.8722962855493,4.720067697016395,1.7895779412548185,1.8481732904077393,-0.35141992828383595,298.8797984405674,5.0,1.1572445248856895,1.564158880316709,-0.35141992828383684,575.7520947261168,5.0,1.3612882759667622
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,5.0,1.35,0.65,False,72,True,12,90,1.25,1.1,0.25,36,0.8083198454722533,1.3499796061100124,-0.3321393762663576,274.41692178494645,4.654397189927472,1.7830905674974091,1.8554424121604207,-0.3475279995757812,295.6866191693792,5.0,1.1486360746932798,1.5685635457637683,-0.34752799957578084,570.1035409543256,5.0,1.3562867409621364
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,5.0,1.35,0.5,False,72,True,12,90,1.25,1.1,0.25,36,0.8057721396151534,1.3476443910466707,-0.33531401174937614,272.5122466092048,4.654397189927472,1.7796358188737487,1.8537280131502325,-0.3470244936272633,294.5602310905066,5.0,1.145753189637531,1.5665220874157073,-0.34702449362726373,567.0724776997114,5.0,1.3532014329711648
