ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity
18,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.545601249902885,0.15603299600525622,0.14423577982259173,1.076654724651283,1.6802667494350723,-0.1957236334271396,119.0,0.3949579831932773,15456.01249902885
18,120,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.545601249902885,0.15603299600525622,0.14423577982259173,1.076654724651283,1.6802667494350723,-0.1957236334271396,119.0,0.3949579831932773,15456.01249902885
24,72,20,14,21.0,16.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5738115865362878,0.16301701866752194,0.15176994744595126,1.0702145958344331,1.6694580878504652,-0.2040453065954443,150.0,0.3933333333333333,15738.115865362879
24,72,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5738115865362878,0.16301701866752194,0.15176994744595126,1.0702145958344331,1.6694580878504652,-0.2040453065954443,150.0,0.3933333333333333,15738.115865362879
24,72,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5738115865362878,0.16301701866752194,0.15176994744595126,1.0702145958344331,1.6694580878504652,-0.2040453065954443,150.0,0.3933333333333333,15738.115865362879
24,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.4893681376488326,0.1418535207303977,0.1321684697669049,1.069054977208363,1.6450931000924605,-0.14965069356439709,110.0,0.42727272727272725,14893.681376488326
24,120,20,14,21.0,16.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5544954546907042,0.15824404249107338,0.14769300964726664,1.067785672290424,1.6738050053868796,-0.15569479359740224,150.0,0.3933333333333333,15544.954546907042
24,120,20,14,21.0,16.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5544954546907042,0.15824404249107338,0.14769300964726664,1.067785672290424,1.6738050053868796,-0.15569479359740224,150.0,0.3933333333333333,15544.954546907042
24,120,20,14,21.0,16.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5544954546907042,0.15824404249107338,0.14769300964726664,1.067785672290424,1.6738050053868796,-0.15569479359740224,150.0,0.3933333333333333,15544.954546907042
24,120,20,14,24.0,19.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5245829446709016,0.1507740326373299,0.14329097253178386,1.0509877084850103,1.6501853459373446,-0.16794052114471358,122.0,0.36885245901639346,15245.829446709016
24,120,20,14,24.0,19.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5245829446709016,0.1507740326373299,0.14329097253178386,1.0509877084850103,1.6501853459373446,-0.16794052114471358,122.0,0.36885245901639346,15245.829446709016
24,120,20,14,24.0,19.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.5236201371701277,0.15053197458454348,0.14329144381691353,1.0495175296945247,1.6478907003537513,-0.16794052114471358,123.0,0.36585365853658536,15236.201371701278
18,96,20,14,24.0,19.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,False,72,0.527423941721817,0.15148768985488625,0.145766741293237,1.0398603086427443,1.620591980244326,-0.19165238955564656,122.0,0.38524590163934425,15274.239417218168
18,96,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,False,72,0.527423941721817,0.15148768985488625,0.145766741293237,1.0398603086427443,1.620591980244326,-0.19165238955564656,122.0,0.38524590163934425,15274.239417218168
18,96,20,14,24.0,19.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,False,72,0.527423941721817,0.15148768985488625,0.145766741293237,1.0398603086427443,1.620591980244326,-0.19165238955564656,122.0,0.38524590163934425,15274.239417218168
