ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,total_return,cagr,annualized_volatility,sharpe,sortino,max_drawdown,trade_count,win_rate,final_equity
18,120,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.5175523359330363,0.14900412491824855,0.17575880778767808,0.8773824034941136,1.4436342647183618,-0.15160551029689018,3643.0,0.4949217677738128,15175.523359330362
18,72,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.5105908967054846,0.14724623318430807,0.1751619270872329,0.8710519945503246,1.4270666766304552,-0.14811378386594964,3657.0,0.4995898277276456,15105.908967054846
18,72,20,14,27.0,22.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.5041365986260657,0.14561157010885362,0.17506216816086587,0.863308605295841,1.4142650389889209,-0.14811378386594964,3647.0,0.4990403071017274,15041.365986260656
30,120,20,14,21.0,16.0,0.15,14,27.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.5703478962684221,0.16216403444478278,0.20945338127420138,0.8214779551835502,1.3909844796034363,-0.19697440683836676,5146.0,0.49378157792460164,15703.478962684221
30,120,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.5703478962684221,0.16216403444478278,0.20945338127420138,0.8214779551835502,1.3909844796034363,-0.19697440683836676,5146.0,0.49378157792460164,15703.478962684221
30,120,20,14,21.0,16.0,0.15,14,27.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.5703478962684221,0.16216403444478278,0.20945338127420138,0.8214779551835502,1.3909844796034363,-0.19697440683836676,5146.0,0.49378157792460164,15703.478962684221
30,120,20,14,24.0,19.0,0.15,14,30.0,52.0,24,2.0,2.2,18,0.35,3.0,1.0,0.65,0.5212717554746371,0.1499411430972779,0.1932220691852577,0.8189045101359771,1.3783792739720533,-0.1622224484905238,4356.0,0.49173553719008267,15212.71755474637
30,120,20,14,24.0,19.0,0.15,14,30.0,52.0,24,2.2,2.2,18,0.35,3.0,1.0,0.65,0.5212717554746371,0.1499411430972779,0.1932220691852577,0.8189045101359771,1.3783792739720533,-0.1622224484905238,4356.0,0.49173553719008267,15212.71755474637
30,120,20,14,24.0,19.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.5203110269172553,0.1496992571790996,0.19322303693641757,0.8178133123295326,1.3765555062014425,-0.16222244849052325,4357.0,0.4916226761533165,15203.110269172552
30,120,20,14,21.0,16.0,0.15,14,30.0,52.0,24,1.8,2.2,18,0.35,3.0,1.0,0.65,0.5478263341311485,0.1565869330583165,0.20958086954665503,0.7981678317457594,1.3507761519357442,-0.19697440683836676,5154.0,0.4935972060535506,15478.263341311484
