ema_fast,ema_slow,atr_period,adx_period,adx_enter,adx_exit,trend_separation_atr,rsi_period,rsi_entry,rsi_exit,bb_period,bb_std,mr_stop_atr,mr_max_bars,target_vol,max_leverage,trend_scale,rebound_scale,allow_short,rebalance_bars,vol_risk_enabled,realized_vol_period,vol_baseline_period,vol_shock_enter,vol_shock_exit,vol_shock_scale,vol_momentum_period,momentum_factor_enabled,momentum_factor_period,momentum_factor_threshold,momentum_factor_scale,funding_factor_enabled,funding_lookback,funding_high_threshold,funding_factor_scale,downside_allocation_enabled,downside_vol_period,downside_calm_threshold,downside_stress_threshold,downside_calm_boost,downside_stress_scale,drawdown_brake_enabled,price_drawdown_lookback,price_drawdown_enter,price_drawdown_exit,price_drawdown_scale,train_cagr,train_sharpe,train_sortino,train_max_drawdown,train_average_leverage,train_turnover_multiple,validation_cagr,validation_sharpe,validation_sortino,validation_max_drawdown,validation_average_leverage,validation_turnover_multiple,pre_cagr,pre_sharpe,pre_sortino,pre_max_drawdown,pre_average_leverage,pre_turnover_multiple,score
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.15,0.1,0.75,0.8949966599877479,1.7485995705603494,3.1806370607659415,-0.2717886897304942,0.2848135608620168,359.58147875347845,1.7220774566292776,1.9105399444755855,3.6081945012994585,-0.3502528982683353,0.6034103753740108,346.6506289697861,1.1903249186452491,1.7923548867290573,3.328582346257648,-0.35025289826833617,0.41228716316539255,706.2321077232646,1.692088281324913
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.2,0.05,0.75,0.8624317198909144,1.7474047669532737,3.194264128956985,-0.2685300135252574,0.27738527736672886,353.2244410795547,1.6831911195088143,1.9134715251273087,3.6422365960547873,-0.3413189922974481,0.5754323810536702,335.4196905354012,1.1552264037477493,1.7917223990843474,3.3505626301029343,-0.34131899229744833,0.39663674578224833,688.6441316149558,1.6900041210616792
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.25,0.1,0.5,0.9224530972678839,1.7194322468883874,3.0952660926665634,-0.29212560793533393,0.293334320890751,367.94340320901824,1.75032346278179,1.9261168732044112,3.640758526748455,-0.34131899229744844,0.6051081854814909,346.7982842756038,1.2184496578470285,1.7913070698972964,3.3109035712870525,-0.3413189922974482,0.4180779963236086,714.7416874846222,1.6860921444682542
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.2,0.05,0.75,0.9102060443731743,1.7166444638631067,3.1232087633636896,-0.281968965691173,0.2922418933159905,366.7843276016227,1.7695280372549265,1.9376849873608892,3.664148240947632,-0.34131899229744844,0.6033870252746135,345.85465819218325,1.2161217831630906,1.794462769807557,3.333626917006674,-0.34131899229744833,0.4167340068692217,712.6389857938059,1.6857912472448282
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.25,0.05,0.75,0.8668613559413894,1.738437497901592,3.1376934316635277,-0.27912402703409456,0.27936054408722827,355.09511433808075,1.7197667516146669,1.9131708272378296,3.6136710795599667,-0.3413189922974481,0.5951357781202165,344.77686241478614,1.1700218907237372,1.7863790495205165,3.3081168417188387,-0.34131899229744656,0.40570520532319676,699.8719767528668,1.6857549580592823
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.25,0.05,0.75,0.9147493076067326,1.7097718162623408,3.0769216228422094,-0.2923683403994827,0.29421716003648996,368.65500086014873,1.7695280372549265,1.9376849873608892,3.664148240947632,-0.34131899229744844,0.6033870252746135,345.85465819218325,1.219282025634835,1.7920674784007034,3.3126740308055385,-0.34131899229744767,0.4179189506709006,714.5096590523319,1.6818067338256035
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.15,0.05,0.25,0.7610235895778896,1.7469922245427534,3.241531115667062,-0.22616031936552772,0.2253478299299675,306.8337860022241,1.5983586680232675,1.9049014225466705,3.6773032020985483,-0.33297162491184484,0.5068245819942875,300.34581405858194,1.0574323749123762,1.775748081297208,3.3724674188484927,-0.33297162491184495,0.33796934375537413,607.179600060806,1.6785011468530748
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.25,0.1,0.75,0.916213110739041,1.7098580467230924,3.075450540509168,-0.29236834039948245,0.29510817536604206,370.14783925316146,1.75032346278179,1.9261168732044112,3.640758526748455,-0.34131899229744844,0.6051081854814909,346.7982842756038,1.2141274522018368,1.7866615879293695,3.301068160005167,-0.3413189922974478,0.4191421148265747,716.9461235287653,1.6782547539080368
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.2,0.1,0.5,0.8607725524626082,1.7440637388105797,3.159755776406087,-0.250600292465747,0.273652065236562,347.38603002104696,1.6935293122851327,1.8946301496422981,3.575419389350369,-0.3616626260183964,0.6011420030498641,346.6382015819428,1.157390913077034,1.7780728318034462,3.296123493275387,-0.3616626260183976,0.4046838903824425,694.0242316029899,1.6742573875983857
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,360,0.15,0.1,0.5,0.8607428027408617,1.7440238611117793,3.1596832249541857,-0.2506002924657488,0.2736468964063196,347.31804956569954,1.6898448401795019,1.8924428105502538,3.571227925093825,-0.36340858708156576,0.6010340920346084,346.5029736639683,1.1561891519526029,1.7769720505138904,3.2940502594048624,-0.36340858708156654,0.40463761343110294,693.8210232296678,1.6728258180887956
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,False,360,0.2,0.1,0.5,0.910524100883072,1.7003615386914104,3.054751227046662,-0.2926113986466762,0.29677948666577175,372.16927415370264,1.75032346278179,1.9261168732044112,3.640758526748455,-0.34131899229744844,0.6051081854814909,346.7982842756038,1.210181976945465,1.782092953777575,3.290821804277487,-0.34131899229744767,0.4201447186495105,718.9675584293066,1.6705958164450654
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.2,0.1,0.75,0.9052837028626395,1.6981413510786512,3.05096044245401,-0.30516912399493246,0.2945357583962442,369.6040026263686,1.75032346278179,1.9261168732044112,3.640758526748455,-0.34131899229744844,0.6051081854814909,346.7982842756038,1.2065434638772232,1.7806429540830149,3.288378084746569,-0.34131899229744755,0.4187987273066522,716.4022869019724,1.6685341356385839
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.15,0.1,0.75,0.9052172252218895,1.6980614687922975,3.0508122929733004,-0.3051691239949331,0.29452105486813696,369.53813428389617,1.7502737048098518,1.9260881916262356,3.6406992976469965,-0.34131899229744844,0.6050899362004079,346.7182429287733,1.2064813114503918,1.780588946380303,3.2882736724487382,-0.3413189922974492,0.4187826050892043,716.2563772126695,1.668481803422326
30,120,20,14,27.0,18.0,0.15,14,27.0,52.0,24,2.0,2.2,18,1.05,6.0,1.25,0.65,False,72,True,12,90,1.25,1.1,0.25,36,False,24,0.0,0.5,True,6,0.0002,0.5,True,24,0.4,0.65,1.4,0.4,True,180,0.2,0.1,0.5,0.9011566542663327,1.6964256067934556,3.0489532485782944,-0.3168878321722286,0.29217916970494545,366.8285914710021,1.75032346278179,1.9261168732044112,3.640758526748455,-0.34131899229744844,0.6051081854814909,346.7982842756038,1.2036751520744944,1.7795112584329411,3.286880060296767,-0.3413189922974482,0.41738503206545713,713.626875746606,1.6670442346974783
