,V4,V4.1.2,V4.2.2,V7.1,V7.1.2,V7.1.3,BTC
2024-07-27 04:00:00+00:00,277693.0862193914,230591.05589402906,126543.76269278083,543369.777224744,671528.3848018148,278871.8017011773,93837.55789881814
2024-07-27 08:00:00+00:00,279574.6471847497,232153.08282671653,127190.2292117776,543369.777224744,671528.3848018148,278872.0724197843,94180.13888792729
2024-07-27 12:00:00+00:00,280796.1516910572,233167.1466664646,127609.47475814374,543369.777224744,671528.3848018148,278872.248169603,94417.06535210097
2024-07-27 16:00:00+00:00,285559.7554381883,237121.77661822515,129245.12698841128,554683.7980921087,686176.1960011511,283689.6011304661,95299.55065670588
2024-07-27 20:00:00+00:00,280977.2811994213,233317.51605421142,127672.31895488591,542402.3269799384,670990.3311978946,278958.2816543142,94450.9911169885
2024-07-28 00:00:00+00:00,278327.2809785526,231117.54922197206,126763.46487548739,535300.0718522365,662208.4934862349,276222.205682357,93986.55431930377
2024-07-28 04:00:00+00:00,278647.5187197771,231383.40293910657,126873.37825185862,536158.3397579463,663269.7295761174,276552.84519784775,94037.92762041916
2024-07-28 08:00:00+00:00,275599.39982661954,228858.66138492507,125836.09800288269,528314.0294190955,653570.3511227877,273530.89954132074,93493.45371210181
2024-07-28 12:00:00+00:00,275749.0397047439,229138.82995121847,125976.79909085501,527857.4742644292,653216.959765104,273608.3765540931,93884.36160711196
2024-07-28 16:00:00+00:00,275405.87090194493,228796.7285474951,125836.39150908409,527172.3819577529,652269.4651856808,273310.59576339845,93641.06540749
2024-07-28 20:00:00+00:00,276300.35556036234,229688.43098302474,126204.13508205494,528958.1053478852,654739.1517023895,274086.77456134063,94285.93188537245
2024-07-29 00:00:00+00:00,277038.234682067,230420.13833596028,126520.67500472485,530715.070178629,658035.4047510558,274849.6682554027,94459.71488510244
2024-07-29 04:00:00+00:00,285979.1944623623,237854.96231592738,129586.65527198957,548560.6309378949,682752.7789606855,282608.05948069325,95993.4364030381
2024-07-29 08:00:00+00:00,287433.78639972926,239064.52317770827,130086.15097534907,551463.8996513308,686774.0131594395,283870.2610340563,96253.07235880998
