entry_time,side,equity_before,entry_permission_reason,entry_trend_quality,entry_direction_context,exit_time,holding_minutes,pnl,exit_reason,equity_at_trigger
2020-07-28 16:00:00+00:00,long,11764.206599877556,confirmed_long,1.0,long_continuation,2020-07-30 13:05:00+00:00,2705.0,-207.24180391808113,stop_loss,11560.090739326168
2020-08-01 08:00:00+00:00,long,11556.964795959475,confirmed_long,0.9914301614841424,long_continuation,2020-08-02 04:38:00+00:00,1238.0,197.01699132508475,stop_loss,11757.098349507629
2020-08-28 00:00:00+00:00,long,11753.98178728456,range_rebound,0.3,range_rebound,2020-08-28 04:00:00+00:00,240.0,0.5846944201384758,signal,
2020-09-04 04:00:00+00:00,short,11754.566481704698,confirmed_short,0.8,short_release,2020-09-07 22:41:00+00:00,5441.0,-1.9391907301560423,stop_loss,11752.772061104097
2020-09-08 16:00:00+00:00,short,11752.627290974542,probe_short,0.2693443025510903,short_probe,2020-09-09 08:00:00+00:00,960.0,-2.7400105509823334,signal,
2020-09-10 12:00:00+00:00,short,11749.88728042356,confirmed_short,0.5486149020136221,short_release,2020-09-11 08:00:00+00:00,1200.0,0.7365194245921884,signal,
2020-09-22 12:00:00+00:00,short,11750.623799848152,confirmed_short,0.7850764322495156,short_release,2020-09-24 15:23:00+00:00,3083.0,1.5589123344361724,stop_loss,11752.961934372745
2020-10-09 20:00:00+00:00,long,11752.182712182588,confirmed_long,0.7325178840719146,long_continuation,2020-10-10 02:07:00+00:00,367.0,1017.8688608945704,take_profit,12788.591614473306
2020-10-10 20:00:00+00:00,long,12770.051573077159,confirmed_long,0.8,long_continuation,2020-10-12 10:42:00+00:00,2322.0,-457.66407661368976,stop_loss,12329.499411212677
2020-10-12 12:00:00+00:00,long,12312.387496463469,confirmed_long,0.4241912645681313,long_probe,2020-10-13 13:40:00+00:00,1540.0,151.1885478939239,stop_loss,12475.23768185003
2020-10-14 16:00:00+00:00,long,12463.576044357393,confirmed_long,0.5682247751476707,long_probe,2020-10-16 04:19:00+00:00,2179.0,-167.86646513919732,stop_loss,12307.874203709118
2020-10-17 00:00:00+00:00,long,12295.709579218195,probe_long,0.0,long_probe,2020-10-17 04:00:00+00:00,240.0,12.628987677861005,signal,
2020-10-19 20:00:00+00:00,long,12308.338566896056,confirmed_long,0.8,long_continuation,2020-10-21 02:57:00+00:00,1857.0,818.2440896690969,take_profit,13139.7829169285
2020-10-21 20:00:00+00:00,long,13126.582656565153,confirmed_long,0.8,long_continuation,2020-10-23 16:41:00+00:00,2681.0,91.10812262922082,stop_loss,13231.10360945383
2020-10-25 20:00:00+00:00,long,13217.690779194374,confirmed_long,0.5595529405339835,long_probe,2020-10-26 16:39:00+00:00,1239.0,-288.8812996796023,stop_loss,12931.065778099399
2020-10-27 04:00:00+00:00,long,12928.809479514772,probe_long,0.0,long_probe,2020-10-27 17:35:00+00:00,815.0,415.2305216555487,take_profit,13353.816329284555
2020-10-27 20:00:00+00:00,long,13344.04000117032,confirmed_long,0.8,long_continuation,2020-10-27 20:16:00+00:00,16.0,0.2620600430673221,take_profit,13353.702639469982
2020-11-01 00:00:00+00:00,long,13344.302061213388,confirmed_long,0.7154380456793948,long_continuation,2020-11-02 11:22:00+00:00,2122.0,-438.55217356501817,stop_loss,12913.39502534304
2020-11-03 04:00:00+00:00,long,12905.74988764837,probe_long,0.0,long_probe,2020-11-04 07:47:00+00:00,1667.0,-297.3531098267558,stop_loss,12616.467000746174
2020-11-05 00:00:00+00:00,long,12608.396777821614,confirmed_long,0.5859894709236462,long_probe,2020-11-05 13:25:00+00:00,805.0,734.7322339291113,take_profit,13351.307456780934
2020-11-06 08:00:00+00:00,long,13343.129011750725,confirmed_long,1.0,long_continuation,2020-11-07 15:21:00+00:00,1881.0,-526.7454935667611,stop_loss,12823.381303666585
2020-11-08 20:00:00+00:00,long,12816.383518183964,confirmed_long,0.40966697165176524,long_probe,2020-11-09 13:47:00+00:00,1067.0,-383.2583643625421,stop_loss,12438.996021768407
2020-11-13 04:00:00+00:00,long,12433.125153821422,confirmed_long,0.9324954817214703,long_continuation,2020-11-14 08:21:00+00:00,1701.0,-304.78984466068323,stop_loss,12130.01562256987
2020-11-15 04:00:00+00:00,long,12128.335309160739,probe_long,0.0,long_probe,2020-11-15 16:00:00+00:00,720.0,16.612453718884353,signal,
2020-11-17 20:00:00+00:00,long,12144.947762879623,confirmed_long,1.0,long_continuation,2020-11-18 15:19:00+00:00,1159.0,326.0541244011529,stop_loss,12474.01539665867
2020-11-18 16:00:00+00:00,long,12471.001887280776,confirmed_long,0.8,long_continuation,2020-11-18 19:51:00+00:00,231.0,-202.80881183766905,stop_loss,12274.105243393395
2020-11-19 20:00:00+00:00,long,12268.193075443107,confirmed_long,0.4625232995360194,long_probe,2020-11-22 09:00:00+00:00,3660.0,10.836625114709022,stop_loss,12281.21988642775
2020-11-23 00:00:00+00:00,long,12279.029700557816,confirmed_long,0.43036724246546026,long_probe,2020-11-25 04:00:00+00:00,3120.0,16.176974700472783,signal,
2020-11-25 20:00:00+00:00,long,12295.206675258289,confirmed_long,0.489366353113266,long_probe,2020-11-26 00:00:00+00:00,240.0,-15.098868557446622,signal,
2020-11-30 16:00:00+00:00,long,12280.107806700842,confirmed_long,0.9089944594066598,long_continuation,2020-12-01 12:26:00+00:00,1226.0,-56.61273401573271,stop_loss,12225.276301659229
2020-12-01 16:00:00+00:00,long,12223.49507268511,probe_long,0.0,long_probe,2020-12-01 17:06:00+00:00,66.0,-167.99181309300548,stop_loss,12060.117400604853
2020-12-02 16:00:00+00:00,long,12055.503259592104,probe_long,0.0,long_probe,2020-12-02 20:00:00+00:00,240.0,91.38352309938455,signal,
2020-12-03 00:00:00+00:00,long,12146.886782691488,probe_long,0.0,long_probe,2020-12-03 04:00:00+00:00,240.0,-65.68593432471243,signal,
2020-12-13 04:00:00+00:00,long,12081.200848366776,confirmed_long,0.7645454370148924,long_continuation,2020-12-15 20:00:00+00:00,3840.0,571.6689229631738,signal,
2020-12-16 16:00:00+00:00,long,12652.86977132995,confirmed_long,1.0,long_continuation,2020-12-17 05:58:00+00:00,838.0,1680.4801810511435,take_profit,14345.186282693054
2020-12-18 00:00:00+00:00,long,14333.349952381093,confirmed_long,0.8,long_continuation,2020-12-18 16:00:00+00:00,960.0,-50.76709242802826,signal,
2020-12-19 08:00:00+00:00,long,14282.582859953065,confirmed_long,0.4968324433040464,long_probe,2020-12-21 10:16:00+00:00,3016.0,195.32855914266838,stop_loss,14484.40360014973
2020-12-27 00:00:00+00:00,long,14477.911419095733,confirmed_long,1.0,long_continuation,2020-12-27 20:46:00+00:00,1246.0,185.97513671739762,stop_loss,14665.90281133059
2020-12-28 16:00:00+00:00,long,14663.886555813131,confirmed_long,0.7522405143649967,long_continuation,2021-01-01 01:14:00+00:00,4874.0,582.1212977637551,take_profit,15248.181859562059
2021-01-01 08:00:00+00:00,long,15246.007853576886,confirmed_long,0.5582574111257838,long_probe,2021-01-01 11:22:00+00:00,202.0,104.51633840164686,take_profit,15356.84056071924
2021-01-03 00:00:00+00:00,long,15350.524191978533,confirmed_long,0.7983589747120136,long_continuation,2021-01-03 16:00:00+00:00,960.0,204.14537577026385,signal,
2021-01-07 08:00:00+00:00,long,15554.669567748797,confirmed_long,0.75724686681736,long_continuation,2021-01-08 11:09:00+00:00,1629.0,360.1138736568664,take_profit,15916.503366965462
2021-01-10 00:00:00+00:00,long,15914.783441405663,probe_long,0.38896146833861234,long_probe,2021-01-10 17:22:00+00:00,1042.0,-150.26066959242053,stop_loss,15766.017124848167
2021-01-23 16:00:00+00:00,short,15764.522771813243,probe_short,0.4551816427748088,short_probe,2021-01-25 03:47:00+00:00,2147.0,-28.079358827131728,stop_loss,15736.744352699781
2021-02-04 08:00:00+00:00,long,15736.443412986111,confirmed_long,0.7585310759450327,long_continuation,2021-02-04 16:00:00+00:00,480.0,-143.36515367532047,signal,
2021-02-05 08:00:00+00:00,long,15593.07825931079,confirmed_long,0.6536895172414502,long_continuation,2021-02-06 23:41:00+00:00,2381.0,119.42670068607913,stop_loss,15714.69561629068
2021-02-08 04:00:00+00:00,long,15712.50495999687,confirmed_long,0.6126290251058849,long_continuation,2021-02-08 12:51:00+00:00,531.0,87.36661994974384,take_profit,15800.372772140492
2021-02-09 08:00:00+00:00,long,15799.871579946614,confirmed_long,1.0,long_continuation,2021-02-10 12:39:00+00:00,1719.0,-298.62713933505256,stop_loss,15503.632396919233
2021-02-11 08:00:00+00:00,long,15501.244440611561,confirmed_long,0.51,long_probe,2021-02-14 12:15:00+00:00,4575.0,493.50268376998974,take_profit,15997.509637768479
2021-02-15 20:00:00+00:00,long,15994.74712438155,probe_long,0.0,long_probe,2021-02-16 00:00:00+00:00,240.0,-88.11852733347041,signal,
2021-02-16 04:00:00+00:00,long,15906.62859704808,probe_long,0.0,long_probe,2021-02-19 16:25:00+00:00,5065.0,322.9611347660266,take_profit,16231.869868094725
2021-02-20 12:00:00+00:00,long,16229.589731814107,confirmed_long,0.9845092458922263,long_continuation,2021-02-20 22:42:00+00:00,642.0,-279.9039603794299,stop_loss,15952.855113032812
2021-03-01 08:00:00+00:00,short,15949.685771434677,probe_short,0.44353094043958985,short_probe,2021-03-01 16:00:00+00:00,480.0,-8.736843995022355,signal,
2021-03-10 08:00:00+00:00,long,15940.948927439655,confirmed_long,0.7982680355397156,long_continuation,2021-03-11 08:15:00+00:00,1455.0,173.70359637376714,stop_loss,16117.022550111047
2021-03-14 04:00:00+00:00,long,16114.652523813422,confirmed_long,0.7842815273797188,long_continuation,2021-03-14 16:00:00+00:00,720.0,-204.65721004035913,signal,
2021-03-26 08:00:00+00:00,short,15909.995313773063,probe_short,0.6937318422058973,short_release,2021-03-27 00:00:00+00:00,960.0,-3.4458288120731595,stop_loss,15906.577049230184
2021-03-27 12:00:00+00:00,short,15906.54948496099,probe_short,0.5037819164683418,short_release,2021-03-27 20:00:00+00:00,480.0,-6.771415872419311,signal,
2021-04-10 16:00:00+00:00,long,15899.77806908857,confirmed_long,0.6812297029946313,long_continuation,2021-04-10 20:55:00+00:00,295.0,-203.36734334125322,stop_loss,15699.81248443975
2021-04-11 04:00:00+00:00,long,15696.410725747317,confirmed_long,0.6138626177292104,long_continuation,2021-04-13 15:43:00+00:00,3583.0,315.7522083146432,take_profit,16015.726006271227
2021-04-13 16:00:00+00:00,long,16012.16293406196,confirmed_long,0.9379030276709244,long_continuation,2021-04-13 16:01:00+00:00,1.0,22.52897525737353,take_profit,16039.622946751799
2021-04-13 20:00:00+00:00,long,16034.691909319334,confirmed_long,0.7425192766700709,long_continuation,2021-04-13 23:55:00+00:00,235.0,71.33449844718234,take_profit,16110.734753185903
2021-04-14 16:00:00+00:00,long,16106.026407766516,confirmed_long,0.7505386733225387,long_continuation,2021-04-14 20:00:00+00:00,240.0,-24.789027622136928,signal,
2021-04-15 12:00:00+00:00,long,16081.23738014438,confirmed_long,0.47841228078954323,long_probe,2021-04-16 05:00:00+00:00,1020.0,-28.05530079206619,stop_loss,16053.982598831928
2021-04-25 04:00:00+00:00,short,16053.182079352313,probe_short,0.37044239158389686,short_probe,2021-04-25 16:00:00+00:00,720.0,-9.916650589500932,signal,
2021-04-26 12:00:00+00:00,short,16043.265428762812,confirmed_short,0.7855293881531529,short_release,2021-04-27 11:50:00+00:00,1430.0,-1.5020570426277118,stop_loss,16041.790901850201
2021-04-28 04:00:00+00:00,short,16041.763371720184,probe_short,0.0,short_probe,2021-04-28 16:00:00+00:00,720.0,0.3779401531737676,signal,
2021-05-13 04:00:00+00:00,short,16042.141311873358,confirmed_short,0.8,short_release,2021-05-16 10:46:00+00:00,4726.0,4.287829327275176,stop_loss,16046.826116532488
2021-05-17 20:00:00+00:00,short,16046.429141200633,confirmed_short,0.66674746649267,short_release,2021-05-19 11:30:00+00:00,2370.0,116.4327676779667,take_profit,16163.202097839621
2021-05-20 08:00:00+00:00,short,16162.8619088786,confirmed_short,0.8,short_release,2021-05-23 16:43:00+00:00,4843.0,175.970540503773,take_profit,16339.143682311973
2021-05-25 08:00:00+00:00,short,16338.832449382373,confirmed_short,0.7165114181644784,short_release,2021-05-26 06:25:00+00:00,1345.0,-4.337965527871347,stop_loss,16334.554728162042
2021-06-07 00:00:00+00:00,short,16334.494483854502,probe_short,0.6290851986501884,short_release,2021-06-08 02:52:00+00:00,1612.0,89.14363474133643,take_profit,16424.05869419417
2021-06-09 08:00:00+00:00,short,16423.638118595838,confirmed_short,0.7606345039753556,short_release,2021-06-09 12:00:00+00:00,240.0,-22.254726969564217,signal,
2021-06-19 12:00:00+00:00,short,16401.383391626274,confirmed_short,0.7932055392136788,short_release,2021-06-20 19:38:00+00:00,1898.0,8.777783756286226,stop_loss,16410.641317578105
2021-06-21 16:00:00+00:00,short,16410.16117538256,confirmed_short,0.7275499547151627,short_release,2021-06-22 13:53:00+00:00,1313.0,112.11839507688273,take_profit,16522.713130572774
2021-06-23 20:00:00+00:00,short,16522.279570459443,confirmed_short,0.5352265288344606,short_release,2021-06-24 17:00:00+00:00,1260.0,-9.212026010914997,stop_loss,16513.15424031379
2021-06-26 00:00:00+00:00,short,16513.067544448528,probe_short,0.0,short_probe,2021-06-26 04:00:00+00:00,240.0,-9.20133614201768,signal,
2021-06-26 08:00:00+00:00,short,16503.86620830651,probe_short,0.0,short_probe,2021-06-27 01:30:00+00:00,1050.0,-47.29101244165577,stop_loss,16456.93610030211
2021-07-19 12:00:00+00:00,long,16456.575195864854,range_rebound,0.08,range_rebound,2021-07-19 16:00:00+00:00,240.0,-0.6205998225486837,signal,
2021-07-20 08:00:00+00:00,short,16455.954596042306,confirmed_short,0.7263777377173721,short_release,2021-07-21 04:30:00+00:00,1230.0,-9.704224785269616,stop_loss,16446.418889347457
2021-07-29 04:00:00+00:00,long,16446.250371257036,confirmed_long,0.5359191949967319,long_probe,2021-07-30 04:00:00+00:00,1440.0,82.38583112462584,signal,
2021-07-30 08:00:00+00:00,long,16528.636202381662,probe_long,0.32999999999999996,long_probe,2021-07-30 12:00:00+00:00,240.0,-354.8184771531287,signal,
2021-07-31 04:00:00+00:00,long,16173.817725228533,confirmed_long,0.7460327516722349,long_continuation,2021-08-01 16:00:00+00:00,2160.0,-172.74872532011796,signal,
2021-08-03 20:00:00+00:00,long,16001.068999908415,probe_long,0.0,long_probe,2021-08-05 08:00:00+00:00,2160.0,-56.13708296418008,signal,
2021-08-06 00:00:00+00:00,long,15944.931916944235,probe_long,0.0,long_probe,2021-08-06 04:00:00+00:00,240.0,-57.19348286730201,signal,
2021-08-07 00:00:00+00:00,long,15887.738434076933,confirmed_long,0.5933333333333334,long_continuation,2021-08-09 01:07:00+00:00,2947.0,-3.4924071739933424,stop_loss,15891.268508804867
2021-08-12 00:00:00+00:00,long,15884.24602690294,probe_long,0.37476721834972915,long_probe,2021-08-12 14:23:00+00:00,863.0,-187.69736215528974,stop_loss,15698.362097760133
2021-08-15 00:00:00+00:00,long,15696.54866474765,confirmed_long,0.6273830663537275,long_continuation,2021-08-15 08:00:00+00:00,480.0,-455.68598163351635,signal,
2021-08-21 00:00:00+00:00,long,15240.862683114134,confirmed_long,0.9484255461717069,long_continuation,2021-08-22 16:00:00+00:00,2400.0,-286.82473966262114,signal,
2021-08-23 08:00:00+00:00,long,14954.037943451513,confirmed_long,0.6057128273242961,long_continuation,2021-08-24 01:06:00+00:00,1026.0,-452.2899480660344,stop_loss,14510.190744018855
2021-09-23 04:00:00+00:00,short,14501.747995385478,probe_short,0.6142997751512838,short_release,2021-09-25 00:00:00+00:00,2640.0,1.2183735431062814,signal,
2021-09-25 04:00:00+00:00,short,14502.966368928584,probe_short,0.0,short_probe,2021-09-26 09:47:00+00:00,1787.0,-2.5910979833006422,stop_loss,14500.482968799346
2021-09-27 20:00:00+00:00,short,14500.375270945284,probe_short,0.3242659912098952,short_probe,2021-09-30 01:10:00+00:00,3190.0,1.6878918420134141,stop_loss,14502.169748054166
2021-10-07 04:00:00+00:00,long,14502.063162787297,confirmed_long,0.8,long_continuation,2021-10-10 12:00:00+00:00,4800.0,58.67838008159379,signal,
2021-10-10 16:00:00+00:00,long,14560.741542868891,probe_long,0.4,long_probe,2021-10-12 04:00:00+00:00,2160.0,379.26848763485395,signal,
2021-10-15 20:00:00+00:00,long,14940.010030503745,confirmed_long,0.9876493041203442,long_continuation,2021-10-17 20:02:00+00:00,2882.0,-354.0822379471283,stop_loss,14588.77095351001
2021-10-18 00:00:00+00:00,long,14585.927792556617,confirmed_long,0.4346788229024229,long_probe,2021-10-18 12:00:00+00:00,720.0,-141.00427810522888,signal,
2021-10-19 04:00:00+00:00,long,14444.923514451388,confirmed_long,0.6250608544994322,long_continuation,2021-10-20 14:50:00+00:00,2090.0,1024.3751265664996,take_profit,15477.619963684612
2021-10-21 08:00:00+00:00,long,15469.298641017887,confirmed_long,0.7335418914541527,long_continuation,2021-10-21 15:29:00+00:00,449.0,-196.82355982642002,stop_loss,15275.277571943387
2021-11-08 08:00:00+00:00,long,15272.475081191467,confirmed_long,0.9586095369150733,long_continuation,2021-11-09 15:07:00+00:00,1867.0,15.552514652454192,stop_loss,15292.631025117178
2021-11-09 16:00:00+00:00,long,15288.027595843922,confirmed_long,0.8,long_continuation,2021-11-09 16:09:00+00:00,9.0,-64.52888403717952,stop_loss,15233.205943100349
2021-11-09 20:00:00+00:00,long,15223.498711806742,confirmed_long,0.8,long_continuation,2021-11-09 20:19:00+00:00,19.0,-21.3379227489786,stop_loss,15205.563323737997
2021-11-10 20:00:00+00:00,long,15202.160789057763,probe_long,0.4321173013604113,long_probe,2021-11-10 21:20:00+00:00,80.0,-224.4248018055805,stop_loss,14981.164233155485
2021-11-23 04:00:00+00:00,short,14977.735987252183,probe_short,0.5517529198849205,short_release,2021-11-23 12:00:00+00:00,480.0,2.9919298293516476,signal,
2021-11-27 00:00:00+00:00,short,14980.727917081535,confirmed_short,0.6327463330840211,short_release,2021-11-28 21:26:00+00:00,2726.0,-9.725351293227504,stop_loss,14971.141406779818
2021-12-04 04:00:00+00:00,short,14971.002565788307,confirmed_short,0.8242034103591374,short_release,2021-12-04 05:21:00+00:00,81.0,17.5898415732172,take_profit,14988.687549612596
2021-12-05 00:00:00+00:00,short,14988.592407361524,confirmed_short,0.8,short_release,2021-12-06 20:00:00+00:00,2640.0,0.014925787916581612,signal,
2021-12-07 12:00:00+00:00,short,14988.60733314944,confirmed_short,0.5357618754958285,short_release,2021-12-09 00:00:00+00:00,2160.0,14.988849776427742,signal,
2021-12-09 04:00:00+00:00,short,15003.596182925869,probe_short,0.0,short_probe,2021-12-09 08:00:00+00:00,240.0,-9.479564314206073,signal,
