,main_v43,xuyujian_v71_ref,wzy_v71_risk_adjusted_plus
2024-03-13 00:00:00+00:00,42692.54081682527,18041.752067446567,25223.82728180569
2024-03-13 04:00:00+00:00,42773.834765115076,18041.752067446567,25223.82728180569
2024-03-13 08:00:00+00:00,42887.235809151476,18041.752067446567,25223.82728180569
2024-03-13 12:00:00+00:00,42962.363384104654,18041.752067446567,25302.957605090436
2024-03-13 16:00:00+00:00,42887.14433797881,18041.752067446567,25220.303711116023
2024-03-13 20:00:00+00:00,42978.64037893548,18041.752067446567,25324.09026503702
2024-03-14 00:00:00+00:00,42975.450143931885,18041.752067446567,25283.76484647182
2024-03-14 04:00:00+00:00,42975.450143931885,18041.752067446567,25313.209349453806
2024-03-14 08:00:00+00:00,42975.450143931885,18041.752067446567,25305.51375192357
2024-03-14 12:00:00+00:00,42975.450143931885,18041.752067446567,25144.350909818153
2024-03-14 16:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-14 20:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-15 00:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-15 04:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-15 08:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-15 12:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-15 16:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-15 20:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-16 00:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-16 04:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-16 08:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-16 12:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-16 16:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-16 20:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-17 00:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-17 04:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-17 08:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-17 12:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-17 16:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-17 20:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-18 00:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
2024-03-18 04:00:00+00:00,42975.450143931885,18041.752067446567,24870.26003918688
