entry_time,side,equity_before,entry_permission_reason,entry_trend_quality,entry_direction_context,exit_time,holding_minutes,pnl,exit_reason
2022-04-27 08:00:00+00:00,short,81120.9791520675,,,,2022-05-02 12:00:00+00:00,7440.0,80.77532515421626,signal
2022-05-03 00:00:00+00:00,short,81201.75447722172,,,,2022-05-04 00:00:00+00:00,1440.0,128.03140789581812,signal
2022-05-05 20:00:00+00:00,short,81329.78588511754,,,,2022-05-15 20:00:00+00:00,14400.0,5101.167756575669,signal
2022-05-27 16:00:00+00:00,short,86430.95364169321,,,,2022-05-30 04:00:00+00:00,3600.0,-1114.0382202650653,signal
2022-06-03 08:00:00+00:00,short,85316.91542142814,,,,2022-06-06 04:00:00+00:00,4080.0,-168.79005657951348,signal
2022-06-12 04:00:00+00:00,short,85148.12536484863,,,,2022-06-19 20:00:00+00:00,11040.0,8923.660202486542,signal
2022-06-20 08:00:00+00:00,short,94071.78556733517,,,,2022-06-22 12:00:00+00:00,3120.0,-14.073055055661825,signal
2022-06-30 16:00:00+00:00,short,94057.71251227951,,,,2022-07-03 08:00:00+00:00,3840.0,-6.542551247548545,signal
2022-07-04 04:00:00+00:00,long,94051.16996103196,,,,2022-07-04 12:00:00+00:00,480.0,18.628230734044337,signal
2022-07-12 04:01:00+00:00,short,94069.798191766,,,,2022-07-14 16:00:00+00:00,3599.0,-530.0820250713296,signal
2022-07-20 00:00:00+00:00,long,93539.71616669468,,,,2022-07-21 04:00:00+00:00,1680.0,-638.6550041959999,signal
2022-07-21 16:00:00+00:00,long,92901.06116249868,,,,2022-07-23 12:00:00+00:00,2640.0,-107.28907962125959,signal
2022-07-28 08:00:00+00:00,long,92793.77208287742,,,,2022-08-02 08:00:00+00:00,7200.0,-2112.315906361051,signal
2022-08-08 16:00:00+00:00,long,90681.45617651637,,,,2022-08-09 12:00:00+00:00,1200.0,-6813.9553870173695,signal
2022-08-12 00:02:00+00:00,long,83867.500789499,,,,2022-08-13 20:01:00+00:00,2639.0,1114.8512418209139,signal
2022-08-19 12:00:00+00:00,short,84982.35203131991,,,,2022-08-24 04:00:00+00:00,6720.0,62.1883529315528,signal
2022-08-27 04:00:00+00:00,short,85044.54038425146,,,,2022-08-29 16:00:00+00:00,3600.0,-126.99770174773585,signal
2022-08-30 04:01:00+00:00,short,84917.54268250373,,,,2022-08-31 16:00:00+00:00,2159.0,38.672727466138895,signal
2022-09-02 08:00:00+00:00,short,84956.21540996987,,,,2022-09-05 08:00:00+00:00,4320.0,111.64418316600495,signal
2022-09-05 20:00:00+00:00,long,85067.85959313587,,,,2022-09-06 00:00:00+00:00,240.0,2.835164343181532,signal
2022-09-07 08:01:00+00:00,short,85070.69475747905,,,,2022-09-09 04:00:00+00:00,2639.0,-533.1194556870032,signal
2022-09-12 00:00:00+00:00,long,84537.57530179205,,,,2022-09-13 16:00:00+00:00,2400.0,-11223.253381279952,signal
2022-09-16 00:00:00+00:00,short,73314.3219205121,,,,2022-09-19 20:00:00+00:00,5520.0,202.66829168816912,signal
2022-09-20 08:00:00+00:00,short,73516.99021220027,,,,2022-09-26 20:00:00+00:00,9360.0,9.030612935806857,signal
2022-10-10 08:00:00+00:00,short,73526.02082513607,,,,2022-10-13 20:00:00+00:00,5040.0,85.73186312332109,signal
2022-10-22 00:00:00+00:00,short,73611.7526882594,,,,2022-10-23 20:00:00+00:00,2640.0,-159.85586546888226,signal
2022-10-26 12:00:00+00:00,long,73451.89682279051,,,,2022-10-28 00:01:00+00:00,2161.0,-4184.769916564066,signal
2022-10-28 12:00:00+00:00,long,69267.12690622645,,,,2022-10-31 20:00:00+00:00,4800.0,-429.73415021235996,signal
2022-11-05 04:00:00+00:00,long,68837.39275601409,,,,2022-11-07 00:00:00+00:00,2640.0,-5708.192314110376,signal
2022-11-12 04:00:00+00:00,short,63129.20044190371,,,,2022-11-16 20:00:00+00:00,6720.0,10.341279185493477,signal
2022-11-21 08:00:00+00:00,short,63139.541721089205,,,,2022-11-23 04:00:00+00:00,2640.0,-723.5102662427889,signal
2022-12-10 00:00:00+00:00,long,62416.031454846416,,,,2022-12-10 16:00:00+00:00,960.0,202.6895187318587,signal
2022-12-13 16:01:00+00:00,long,62618.720973578274,,,,2022-12-15 16:00:00+00:00,2879.0,-849.3310022856531,signal
2022-12-16 04:00:00+00:00,long,61769.38997129262,,,,2022-12-16 12:00:00+00:00,480.0,-240.08008693880402,signal
2022-12-18 16:01:00+00:00,short,61529.30988435382,,,,2022-12-20 12:00:00+00:00,2639.0,-99.4112648813898,signal
2022-12-31 00:00:00+00:00,short,61429.89861947243,,,,2022-12-31 16:00:00+00:00,960.0,26.287599748880893,signal
2023-01-01 04:03:00+00:00,short,61456.18621922131,,,,2023-01-02 04:00:00+00:00,1437.0,-311.7032846326474,signal
2023-01-07 16:00:00+00:00,long,61144.48293458866,,,,2023-01-25 16:00:00+00:00,25920.0,127524.96715583326,signal
2023-01-26 04:01:00+00:00,long,188669.45009042192,,,,2023-01-30 12:00:00+00:00,6239.0,-5656.595119062142,signal
2023-02-11 16:01:00+00:00,short,183012.85497135977,,,,2023-02-12 04:02:00+00:00,721.0,-301.64915831861435,signal
2023-02-15 20:00:00+00:00,long,182711.20581304116,,,,2023-02-17 00:00:00+00:00,1680.0,6904.246122974553,signal
