,V1,V2,V3,V4.1,V5,V6,BTC
2023-06-17 08:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36816.51700096238
2023-06-17 12:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36691.753269682136
2023-06-17 16:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36556.60410017102
2023-06-17 20:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36648.41137413195
2023-06-18 00:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36707.53913579307
2023-06-18 04:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36748.388526167844
2023-06-18 08:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36794.915289442164
2023-06-18 12:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36679.29074380509
2023-06-18 16:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36760.989524554636
2023-06-18 20:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36891.292156224685
2023-06-19 00:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36459.39639833003
2023-06-19 04:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36547.741859547335
2023-06-19 08:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36577.92886667175
2023-06-19 12:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36610.192961442335
2023-06-19 16:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36599.80752321146
2023-06-19 20:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,36934.49557926513
2023-06-20 00:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,37150.0972769381
2023-06-20 04:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,37222.379927024995
2023-06-20 08:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,37138.881003648756
2023-06-20 12:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,37242.45844093802
2023-06-20 16:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,37462.62973143257
2023-06-20 20:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18041.834042749837,38736.02293104761
2023-06-21 00:00:00+00:00,82981.48353655275,80680.33268771005,94428.15859781903,96329.59598852482,92304.83595082027,18112.898598989614,39174.703841919785
2023-06-21 04:00:00+00:00,85449.05175703984,83198.95920078618,98415.90820297739,100399.00527426657,96201.21205495982,18318.036261682482,39747.980032264095
2023-06-21 08:00:00+00:00,86417.81435703984,84187.83290078619,99983.32680297739,101998.07157426658,97733.24135495984,18494.424192448343,39963.72020244681
2023-06-21 12:00:00+00:00,86777.93654624556,84555.43107364295,100565.98990086511,102592.4992045664,98302.74903975622,18658.584918093537,40037.2491051214
2023-06-21 16:00:00+00:00,92480.90822572727,90376.7940222996,109793.16680229882,112005.98174663975,107321.59401791307,18658.584918093537,41316.04273261651
2023-06-21 20:00:00+00:00,94132.82312316654,92063.00197119844,112465.8981152783,114732.67809408659,109933.98019382806,18658.584918093537,41687.841421281846
2023-06-22 00:00:00+00:00,93415.10612316654,91330.38547119843,111304.6611152783,113547.9945940866,108798.96169382807,18523.092837670618,41525.82858488019
2023-06-22 04:00:00+00:00,95221.52313140655,93174.30292907843,114227.37057791831,116529.71639220661,111655.68199314809,18821.93363015062,41934.59943364743
2023-06-22 08:00:00+00:00,94045.21293140654,91973.57302907844,112324.14837791832,114588.06629220661,109795.43089314809,18627.33323015062,41672.60944520989
2023-06-22 12:00:00+00:00,92951.97797399168,90857.64297840536,110555.33855142184,112783.54248174567,108066.55739354785,18446.476207906897,41430.00560813665
2023-06-22 16:00:00+00:00,92427.65000910655,90322.43018772845,109706.99716761832,111918.07226355662,107237.3699279981,18359.73511555062,41316.45815014575
2023-06-22 20:00:00+00:00,94735.03271437647,92677.71317767487,113440.2488120959,115726.70187539337,110886.33192424648,18741.452112817675,41830.883523848424
2023-06-23 00:00:00+00:00,92686.54863612939,90586.70344025594,110125.88464687283,112345.41748682233,107646.79973291495,18402.565464533476,41368.66228631961
2023-06-23 04:00:00+00:00,93418.5099971305,91333.86000813976,111310.16844531268,113553.61312244971,108804.3446789333,18523.655950389468,41545.07626373474
2023-06-23 08:00:00+00:00,92949.9743971305,90855.59780813976,110552.09684531266,112780.23532244969,108063.38887893329,18446.144750389467,41440.66799138702
2023-06-23 12:00:00+00:00,94194.65460806075,92126.11705145013,112565.93895034853,114834.73885053334,110031.76229908323,18652.05579912399,41715.25897821136
2023-06-23 16:00:00+00:00,101054.66339326746,99128.53670458274,123665.15496683843,126158.05879096867,120880.37934643216,19786.92690166543,43248.98049614701
2023-06-23 20:00:00+00:00,98800.35112530911,96827.42587167966,120017.76913773426,122437.02870850186,117315.34448044782,19413.989500400352,42751.58724114296
2023-06-24 00:00:00+00:00,97567.49352530912,95568.97467167968,118023.05553773428,120402.03990850187,115365.66768044785,19224.384431595936,42474.22680412371
2023-06-24 04:00:00+00:00,97843.75860242675,95850.97489442785,118470.04122897031,120858.05067386969,115802.56129371385,19266.575541699673,42538.06263111616
2023-06-24 08:00:00+00:00,96840.03247618911,94826.41184023969,116846.05306141428,119361.35356514057,114368.59984758338,19113.286823675935,42321.907043404215
2023-06-24 12:00:00+00:00,97561.04329245588,95562.39053473278,118012.61932255785,120417.57523563887,115380.6140637853,19223.399354193665,42476.303891769894
2023-06-24 16:00:00+00:00,95779.18291240002,93743.5394902052,115129.64148846039,117807.29602101889,112879.58634655851,18951.274233390155,42083.04196409408
2023-06-24 20:00:00+00:00,97181.80899903903,95175.28349850119,116615.98431209526,119356.60080110548,114364.09243913903,19165.482819843393,42403.32887913428
2023-06-25 00:00:00+00:00,96566.28805760364,94546.98460382389,115931.42280159316,118656.09161252627,113692.90320528543,19071.480667699492,42267.62581958417
2023-06-25 04:00:00+00:00,97906.70522436095,95915.22826149072,117422.18930295458,120181.58730021662,115154.54896034619,19291.40693000902,42569.21894580879
2023-06-25 08:00:00+00:00,97726.47081749493,95731.25226491023,117221.73870980185,119976.46697106367,114958.01398433652,19261.706248864703,42530.446643080184
2023-06-25 12:00:00+00:00,97692.07648228567,95696.14391791436,117183.48649695485,119937.32362722716,114920.50899312667,19256.038434372538,42524.90774269038
2023-06-25 16:00:00+00:00,96849.21739790929,94835.78743703257,116246.08721595627,118978.08651027999,114001.4209410291,19117.144372190145,42336.72360194692
2023-06-25 20:00:00+00:00,95881.35902576272,93847.83673627209,115169.6679675004,117876.59078967806,112946.0285480994,18957.65177916181,42123.337464429875
2023-06-26 00:00:00+00:00,96098.22267506892,94069.20238280398,115410.85636150668,118123.39795541565,113182.5055496602,18995.111359491675,42175.95701813298
2023-06-26 04:00:00+00:00,95024.51797707625,92973.20803144133,114216.71842011188,116901.44114431101,112011.69398969908,18804.871759799058,41936.399576274125
2023-06-26 08:00:00+00:00,95643.71942042967,93610.2235703695,115017.65951431237,117659.85805781565,112738.3672088602,18920.5469981066,42089.55017205209
2023-06-26 12:00:00+00:00,95167.4456354416,93120.91011981024,114402.18729935175,117083.50483956863,112186.1373719199,18832.366259681363,41978.07980170737
2023-06-26 16:00:00+00:00,95702.69765966716,93670.8165457942,115093.87506234823,117731.2293972899,112806.75128638814,18931.466651572544,42096.3353250296
2023-06-26 20:00:00+00:00,94666.01760836615,92605.7537415486,113754.20912336375,116476.71171713917,111604.7416991849,18426.24067963923,41865.64012379443
2023-06-27 00:00:00+00:00,94816.90776177467,92760.77504220992,113949.19927369592,116659.30842571295,111779.695785341,18426.24067963923,41901.91992134762
2023-06-27 04:00:00+00:00,95384.51269859003,93343.92015525568,114682.69559177078,117346.18421509663,112437.82224869843,18426.24067963923,42040.25395858287
2023-06-27 08:00:00+00:00,95642.51290089467,93608.98401812992,115016.10037065591,117658.39801227296,112736.968273821,18426.24067963923,42101.87422541941
