,baseline,relax_probes,softer_short_block,freer_range_rebound,balanced_relax,balanced_relax_plus,probe_range_relax_only
2020-04-03 20:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-04 00:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-04 04:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-04 08:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-04 12:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-04 16:00:00+00:00,10414.735147855496,10361.026268305479,10381.965034602801,10414.735147855496,10381.965034602801,10399.600486489988,10376.639700071668
2020-04-04 20:00:00+00:00,10416.27796504963,10362.54765748303,10383.507851796936,10416.27796504963,10383.507851796936,10401.143303684123,10378.161089249219
2020-04-05 00:00:00+00:00,10424.19374992411,10370.35350090092,10391.423636671416,10424.19374992411,10391.423636671416,10409.059088558603,10385.966932667108
2020-04-05 04:00:00+00:00,10419.920004293368,10366.139112848381,10387.149891040674,10419.920004293368,10387.149891040674,10404.78534292786,10381.75254461457
2020-04-05 08:00:00+00:00,10418.185423813049,10364.42862376362,10385.415310560355,10418.185423813049,10385.415310560355,10403.050762447541,10380.04205552981
2020-04-05 12:00:00+00:00,10417.667026499352,10363.917461413943,10384.896913246657,10417.667026499352,10384.896913246657,10402.532365133844,10379.530893180132
2020-04-05 16:00:00+00:00,10417.667026499352,10363.917461413943,10384.896913246657,10417.667026499352,10384.896913246657,10402.532365133844,10379.530893180132
2020-04-05 20:00:00+00:00,10417.667026499352,10363.917461413943,10384.896913246657,10417.667026499352,10384.896913246657,10402.532365133844,10379.530893180132
2020-04-06 00:00:00+00:00,10417.667026499352,10363.917461413943,10384.896913246657,10417.667026499352,10384.896913246657,10402.532365133844,10379.530893180132
2020-04-06 04:00:00+00:00,10423.772081524152,10369.947145389056,10391.001968271457,10423.772081524152,10391.001968271457,10408.637420158644,10385.635948204932
2020-04-06 08:00:00+00:00,10438.851505087152,10384.840403229056,10406.081391834457,10438.851505087152,10406.081391834457,10423.716843721644,10400.715371767932
2020-04-06 12:00:00+00:00,10444.31114933614,10390.232644462625,10411.541036083445,10444.31114933614,10411.541036083445,10429.176487970632,10406.17501601692
2020-04-06 16:00:00+00:00,10447.98244368817,10393.858614193025,10415.212330435475,10447.98244368817,10415.212330435475,10432.847782322662,10409.84631036895
2020-04-06 20:00:00+00:00,10458.031080883075,10403.783194138608,10425.26096763038,10458.031080883075,10425.26096763038,10442.896419517567,10419.894947563855
2020-04-07 00:00:00+00:00,10461.446644352316,10407.156590157612,10428.676531099622,10461.446644352316,10428.676531099622,10446.311982986808,10423.310511033096
2020-04-07 04:00:00+00:00,10461.446644352316,10407.156590157612,10428.676531099622,10461.446644352316,10428.676531099622,10446.311982986808,10423.310511033096
2020-04-07 08:00:00+00:00,10461.446644352316,10407.156590157612,10428.676531099622,10461.446644352316,10428.676531099622,10446.311982986808,10423.310511033096
2020-04-07 12:00:00+00:00,10461.446644352316,10407.156590157612,10428.676531099622,10461.446644352316,10428.676531099622,10446.311982986808,10423.310511033096
2020-04-07 16:00:00+00:00,10461.446644352316,10407.156590157612,10428.676531099622,10461.446644352316,10428.676531099622,10446.311982986808,10423.310511033096
2020-04-07 20:00:00+00:00,10459.678323352025,10405.388269157322,10426.908210099331,10459.678323352025,10426.908210099331,10444.543661986518,10421.542190032806
2020-04-08 00:00:00+00:00,10452.876212860776,10398.586158666072,10420.106099608081,10452.876212860776,10420.106099608081,10437.741551495268,10414.740079541556
2020-04-08 04:00:00+00:00,10452.20880559959,10397.918751404886,10419.438692346896,10452.20880559959,10419.438692346896,10437.074144234082,10414.07267228037
2020-04-08 08:00:00+00:00,10452.20880559959,10397.918751404886,10419.438692346896,10452.20880559959,10419.438692346896,10437.074144234082,10414.07267228037
2020-04-08 12:00:00+00:00,10452.20880559959,10397.918751404886,10419.438692346896,10452.20880559959,10419.438692346896,10437.074144234082,10414.07267228037
2020-04-08 16:00:00+00:00,10452.20880559959,10397.918751404886,10419.438692346896,10452.20880559959,10419.438692346896,10437.074144234082,10414.07267228037
2020-04-08 20:00:00+00:00,10454.528009613377,10400.237955418674,10421.757896360683,10454.528009613377,10421.757896360683,10439.39334824787,10416.391876294158
2020-04-09 00:00:00+00:00,10458.700946224877,10404.410892030173,10425.930832972183,10458.700946224877,10425.930832972183,10443.56628485937,10420.564812905657
2020-04-09 04:00:00+00:00,10453.200982891536,10398.910928696832,10420.430869638842,10453.200982891536,10420.430869638842,10438.066321526028,10415.064849572316
2020-04-09 08:00:00+00:00,10452.409507597222,10398.119453402518,10419.639394344527,10452.409507597222,10419.639394344527,10437.274846231714,10414.273374278002
2020-04-09 12:00:00+00:00,10452.409507597222,10398.119453402518,10419.639394344527,10452.409507597222,10419.639394344527,10437.274846231714,10414.273374278002
2020-04-09 16:00:00+00:00,10452.409507597222,10398.119453402518,10419.639394344527,10452.409507597222,10419.639394344527,10437.274846231714,10414.273374278002
