entry_time,side,equity_before,entry_permission_reason,entry_trend_quality,entry_direction_context,entry_signal_mode,exit_time,holding_minutes,pnl,exit_reason,equity_at_trigger
2022-07-18 08:00:00+00:00,long,10981.090302927649,confirmed_breakout_long,0.9538446288172882,breakout_follow,breakout,2022-07-18 16:00:00+00:00,480.0,77.89759846578818,signal,
2022-07-19 16:00:00+00:00,long,11058.987901393437,confirmed_breakout_long,0.9617445653082455,breakout_follow,breakout,2022-07-20 00:00:00+00:00,480.0,33.17409932579358,signal,
2022-07-20 16:00:00+00:00,long,11092.16200071923,confirmed_breakout_long,0.9082108688234993,breakout_follow,breakout,2022-07-20 17:10:00+00:00,70.0,-85.87096448064221,stop_loss,11007.939487371232
2022-07-28 16:00:00+00:00,long,11006.291036238588,confirmed_breakout_long,0.9749006822101871,breakout_follow,breakout,2022-07-28 20:00:00+00:00,240.0,6.388828065077178,signal,
2022-07-30 16:00:00+00:00,long,11012.679864303665,confirmed_breakout_long,0.9158717971160264,breakout_follow,breakout,2022-07-30 19:44:00+00:00,224.0,-86.04363139350426,stop_loss,10928.92376795223
2022-08-15 04:00:00+00:00,long,10926.636232910161,confirmed_breakout_long,0.9343968540628014,breakout_follow,breakout,2022-08-15 06:24:00+00:00,144.0,-85.67304836468975,stop_loss,10843.75504237267
2022-08-19 12:00:00+00:00,short,10840.963184545471,confirmed_breakout_short,0.8860848625446811,breakout_follow,breakout,2022-08-19 16:00:00+00:00,240.0,1.855300487124623,signal,
2022-08-30 16:00:00+00:00,short,10842.818485032596,confirmed_breakout_short,0.9773894466847273,breakout_follow,breakout,2022-08-30 19:19:00+00:00,199.0,-72.36082382517816,stop_loss,10772.83254279038
2022-08-30 20:00:00+00:00,short,10770.457661207418,confirmed_breakout_short,0.9279004601558929,breakout_follow,breakout,2022-08-30 20:47:00+00:00,47.0,-24.82273618185718,stop_loss,10747.859497647578
2022-09-09 08:03:00+00:00,long,10745.63492502556,confirmed_breakout_long,0.8312690668952685,breakout_follow,breakout,2022-09-09 16:00:00+00:00,477.0,140.95147727398034,signal,
2022-09-12 12:00:00+00:00,long,10886.586402299541,confirmed_breakout_long,0.9145663791430119,breakout_follow,breakout,2022-09-12 16:00:00+00:00,240.0,-47.62806345466197,signal,
2022-09-15 16:01:00+00:00,short,10838.95833884488,confirmed_breakout_short,0.9236773364196706,breakout_follow,breakout,2022-09-15 20:00:00+00:00,239.0,-11.342920785311435,signal,
2022-09-19 04:00:00+00:00,short,10827.615418059568,confirmed_breakout_short,0.9236687522920826,breakout_follow,breakout,2022-09-19 12:00:00+00:00,480.0,22.44307409252724,signal,
2022-09-20 20:00:00+00:00,short,10850.058492152095,confirmed_breakout_short,0.8109924431628759,breakout_follow,breakout,2022-09-21 00:00:00+00:00,240.0,20.4212559714324,signal,
2022-09-23 16:00:00+00:00,short,10870.479748123527,confirmed_breakout_short,0.7614597153228697,breakout_follow,breakout,2022-09-23 20:00:00+00:00,240.0,-17.623154101602267,signal,
2022-10-04 12:00:00+00:00,long,10852.856594021925,confirmed_breakout_long,0.7300644426958075,breakout_follow,breakout,2022-10-04 16:00:00+00:00,240.0,49.90203901663517,signal,
